"piler_party","party_id","party_code","party_name","Country"
"Grassroots Democratic Party of Germany",8993,"dieBasis","Grassroots Democratic Party of Germany","Germany"
"Grassroots Democratic Party of Germany (dieBasis)",8993,"dieBasis","Grassroots Democratic Party of Germany","Germany"
"Graue Panther",1652,"Grau","The Grays — Gray Panthers","Germany"
"Graue Panther - Grey Panthers",1652,"Grau","The Grays — Gray Panthers","Germany"
"Green Party (Bündnis 90/Die Grünen)",1816,"B90/Gr","Alliance 90 / Greens","Germany"
"Greens",10,"Grue","Greens","Germany"
"Gruene",10,"Grue","Greens","Germany"
"Gruene/Buendnis 90",1816,"B90/Gr","Alliance 90 / Greens","Germany"
"Kommunistische Partei Deutschlands (DKP)",2125,"DKP","German Conservative Party","Germany"
"Left Party",1545,"Linke","The Left","Germany"
"Liberal Democratic Party (FDP)",573,"FDP","Free Democratic Party","Germany"
"Liberal-Democratic Party",573,"FDP","Free Democratic Party","Germany"
"Marxist-Leninist Party of Germany",,,,"Germany"
"NPD",1723,"NPD","National Democratic Party","Germany"
"NPD (National Democratic Party of Germany)",1723,"NPD","National Democratic Party","Germany"
"National Democratic Party (NPD)",1723,"NPD","National Democratic Party","Germany"
"National Democratic Party - NPD",1723,"NPD","National Democratic Party","Germany"
"National Democratic Party Of Germany",1723,"NPD","National Democratic Party","Germany"
"National Democratic Party of Germany",1723,"NPD","National Democratic Party","Germany"
"National Democratic Party/German People's Union (NPD/DVU)",,,,"Germany"
"National-Democratic Party of Germany - NPD",1723,"NPD","National Democratic Party","Germany"
"Nationaldemokratische Partei (NPD)",1723,"NPD","National Democratic Party","Germany"
"New Forum",,,,"Germany"
"Oekologisch Demokratische Partei (OEDP) - Ecological Democratic Party",7345,"ODP","Ecological Democratic Party","Germany"
"PBC",,,,"Germany"
"PDS",86,"PDS","Party for Democratic Socialism","Germany"
"PDS (communist)",86,"PDS","Party for Democratic Socialism","Germany"
"PDS-Linke Liste",86,"PDS","Party for Democratic Socialism","Germany"
"PDS/ Linke Liste",86,"PDS","Party for Democratic Socialism","Germany"
"PDS/Linke Liste",86,"PDS","Party for Democratic Socialism","Germany"
"Partei des demokratischen Sozialismus (PDS)",86,"PDS","Party for Democratic Socialism","Germany"
"Party Of The Rule Of Law Offensive",,,,"Germany"
"Party for Labour, Rule of Law, Animal Protection, Promotion of Elites and Grassr",6126,"PARTEI","THE PARTY","Germany"
"Party of Democratic Socialism (PDS)",86,"PDS","Party for Democratic Socialism","Germany"
"Party of Democratic Socialism - PDS/Linke Liste",86,"PDS","Party for Democratic Socialism","Germany"
"Party of Literal Exegesis",,,,"Germany"
"Pensioners/Greys",1652,"Grau","The Grays — Gray Panthers","Germany"
"Pirate Party (Piratenpartei)",1287,"Pirat","German Pirate Party","Germany"
"Pirate Party - Piratenpartei",1287,"Pirat","German Pirate Party","Germany"
"Pirate Party Germany/ Piratenpartei",1287,"Pirat","German Pirate Party","Germany"
"Pirate Party of Germany",1287,"Pirat","German Pirate Party","Germany"
"Piratenpartei",1287,"Pirat","German Pirate Party","Germany"
"Piratenpartei (Pirate Party Germany)",1287,"Pirat","German Pirate Party","Germany"
"Pirates",1287,"Pirat","German Pirate Party","Germany"
"Pirates - Piratenpartei",1287,"Pirat","German Pirate Party","Germany"
"Pirates Party",1287,"Pirat","German Pirate Party","Germany"
"REP, NPD or DVU",,,,"Germany"
"Republican Party (Republikaner)",720,"Rep","The Republicans","Germany"
"Republicans",720,"Rep","The Republicans","Germany"
"Republikaner",720,"Rep","The Republicans","Germany"
"Republikaner  DVU  NPD",,,,"Germany"
"Republikaner, NPD oder DVU",,,,"Germany"
"Rosa Liste - Pink List",,,,"Germany"
"SPD",383,"SPD","Social Democratic Party of Germany","Germany"
"SPD (Social Democratic Party of Germany)",383,"SPD","Social Democratic Party of Germany","Germany"
"SPD (Sozialdemokratische Partei Deutschlands)",383,"SPD","Social Democratic Party of Germany","Germany"
"Social Democratic Party",383,"SPD","Social Democratic Party of Germany","Germany"
"Social Democratic Party (SPD)",383,"SPD","Social Democratic Party of Germany","Germany"
"Social Democratic Party - SPD",383,"SPD","Social Democratic Party of Germany","Germany"
"Social Democratic Party of Germany - SPD",383,"SPD","Social Democratic Party of Germany","Germany"
"Social Democratic Party of Germany - Sozialdemokratische Partei Deutschlands (SPD)",383,"SPD","Social Democratic Party of Germany","Germany"
"Social Democrats",383,"SPD","Social Democratic Party of Germany","Germany"
"South Schleswig Voter Federation",50,"SSW","South Schleswig Voter League","Germany"
"South Schleswig Voters' Association",50,"SSW","South Schleswig Voter League","Germany"
"Sozialdemokratische Partei Deutschlands (SPD)",383,"SPD","Social Democratic Party of Germany","Germany"
"Sozialdemokratische Partei Deutschlands (SPD) - Social Democrats",383,"SPD","Social Democratic Party of Germany","Germany"
"Team Todenhoefer - The Justice Party",,,,"Germany"
"The Green Party",10,"Grue","Greens","Germany"
"The Greys",1652,"Grau","The Grays — Gray Panthers","Germany"
"The Greys – Grey Panthers",1652,"Grau","The Grays — Gray Panthers","Germany"
"The Left",1545,"Linke","The Left","Germany"
"The Left (Die Linke)",1545,"Linke","The Left","Germany"
"The Left - Die Linke",1545,"Linke","The Left","Germany"
"The Left Party.Party of Democratic Socialism (Linkspartei.PDS)",,,,"Germany"
"The Left/ Die Linke",1545,"Linke","The Left","Germany"
"The Left/Party of Democratic Socialism - PDS",,,,"Germany"
"The PARTEI - Die PARTEI",6126,"PARTEI","THE PARTY","Germany"
"The PARTY - Die PARTEI-Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",6126,"PARTEI","THE PARTY","Germany"
"The Party",6126,"PARTEI","THE PARTY","Germany"
"The Republicans",720,"Rep","The Republicans","Germany"
"The Republicans - REP",720,"Rep","The Republicans","Germany"
"The Violet for spiritual Politics",,,,"Germany"
"Volt Germany",,,,"Germany"
"apd",,,,"Germany"
"dkp",2125,"DKP","German Conservative Party","Germany"
"dsu",,,,"Germany"
"dvu",695,"DVU","German People's Union","Germany"
"fdp",573,"FDP","Free Democratic Party","Germany"
"fwp",,,,"Germany"
"npd",1723,"NPD","National Democratic Party","Germany"
"oedp",7345,"ODP","Ecological Democratic Party","Germany"
"spd",383,"SPD","Social Democratic Party of Germany","Germany"
"Action Alliance (AA)",,,,"Ghana"
"Action Congress  of Nigeria (ACN)",,,,"Ghana"
"African Democratic Congress (ADC)",,,,"Ghana"
"All Nigeria Peoples Party (ANPP)",,,,"Ghana"
"All People's Party (APC)",,,,"Ghana"
"All Progressive Grand Alliance (APGA)",,,,"Ghana"
"CP",,,,"Ghana"
"CPP",3660,"CPP","Convention People's Party","Ghana"
"Congress for Progressive Change",,,,"Ghana"
"Convention People's Party",3660,"CPP","Convention People's Party","Ghana"
"Convention People's Party (CPP)",3660,"CPP","Convention People's Party","Ghana"
"Convention People's Party (CPP)",3660,"CPP","Convention People's Party","Ghana"
"Convention People's Party (CPP)",3660,"CPP","Convention People's Party","Ghana"
"Convention Peoples Party (CPP)",3660,"CPP","Convention People's Party","Ghana"
"DFP",,,,"Ghana"
"DPP",,,,"Ghana"
"Democratic Freedom Party (DFP)",,,,"Ghana"
"Democratic People's Party",,,,"Ghana"
"Democratic People's Party (DPP)",,,,"Ghana"
"Democratic People's Party (DPP)",,,,"Ghana"
"Democratic Peoples Alliance (DPA)",,,,"Ghana"
"GCPP",4052,"GCPP","Great Consolidated Popular Party","Ghana"
"Ghana Freedom Party (GFP)",,,,"Ghana"
"Ghana National Party (GNP)",,,,"Ghana"
"Great Consolidated Popular Party",4052,"GCPP","Great Consolidated Popular Party","Ghana"
"Great Consolidated Popular Party (GCPP)",4052,"GCPP","Great Consolidated Popular Party","Ghana"
"NDC",2311,"NDC","National Democratic Congress","Ghana"
"NPP",2312,"NPP","New Patriotic Party","Ghana"
"NRP",3659,"NRP","National Reform Party","Ghana"
"National Democratic Congress",2311,"NDC","National Democratic Congress","Ghana"
"National Democratic Congress (NDC)",2311,"NDC","National Democratic Congress","Ghana"
"National Democratic Party (NDP)",,,,"Ghana"
"National Reform Party (NRP)",3659,"NRP","National Reform Party","Ghana"
"New Patriotic Party",2312,"NPP","New Patriotic Party","Ghana"
"New Patriotic Party (NPP)",2312,"NPP","New Patriotic Party","Ghana"
"PNC",2310,"PNC","People's National Convention","Ghana"
"People's National Convention",2310,"PNC","People's National Convention","Ghana"
"People's National Convention (PNC)",2310,"PNC","People's National Convention","Ghana"
"People's National Convention (PNC)",2310,"PNC","People's National Convention","Ghana"
"People's National Convention (PNC)",2310,"PNC","People's National Convention","Ghana"
"Progressive People's Party (PPP)",,,,"Ghana"
"Progressive People's Party (PPP)",,,,"Ghana"
"Progressive People's Party (PPP)",,,,"Ghana"
"Reformed Patriotic Democrats",,,,"Ghana"
"UGM",,,,"Ghana"
"United Development System Party (UDSP)",,,,"Ghana"
"United Ghana Movement (UGM)",,,,"Ghana"
"United Renaissance Party (URP)",,,,"Ghana"
"Action",1130,"D — FS","Action — Liberal Alliance","Greece"
"Anticapitalist Left Cooperation for the Overthrow",,,,"Greece"
"Coalition of Radical Left (SY.RIZ.A)",301,"SYRIZA","Coalition of the Radical Left","Greece"
"Coalition of Radical Left - Unitary Social Front (SYRIZA)",301,"SYRIZA","Coalition of the Radical Left","Greece"
"Coalition of Radical Left – Unitary Social Front (SY.RIZ.A)",301,"SYRIZA","Coalition of the Radical Left","Greece"
"Coalition of Radical Left – Unitary Social Front (SYRIZA)",301,"SYRIZA","Coalition of the Radical Left","Greece"
"Coalition of the Radical Left",301,"SYRIZA","Coalition of the Radical Left","Greece"
"Coalition of the Radical Left (SYRIZA)",301,"SYRIZA","Coalition of the Radical Left","Greece"
"Coalition of the Radical Left - SYRIZA",301,"SYRIZA","Coalition of the Radical Left","Greece"
"Communist Party - KKE",48,"KKE","Communist Party of Greece","Greece"
"Communist Party of Greece",48,"KKE","Communist Party of Greece","Greece"
"Communist Party of Greece (K.K.E)",48,"KKE","Communist Party of Greece","Greece"
"Communist Party of Greece (K.K.E.)",48,"KKE","Communist Party of Greece","Greece"
"Communist Party of Greece (KKE)",48,"KKE","Communist Party of Greece","Greece"
"Communist Party of Greece - KKE",48,"KKE","Communist Party of Greece","Greece"
"Communists",48,"KKE","Communist Party of Greece","Greece"
"Conservative",7367,"CP","Conservative Party","Greece"
"Course of Freedom",9088,"PE","Course of Freedom","Greece"
"Course of Freedom (Plefsi Eletherias)",9088,"PE","Course of Freedom","Greece"
"DIKKI (Democratic Social Movement)",1682,"DIKKI","Democratic Social Movement","Greece"
"Democratic Alignment",,,,"Greece"
"Democratic Alliance",1284,"DISY","Democratic Alliance","Greece"
"Democratic Alliance (DS)",1284,"DISY","Democratic Alliance","Greece"
"Democratic Coalition - PASOK-DIMAR",,,,"Greece"
"Democratic Left",1160,"DIMAR","Democratic Left","Greece"
"Democratic Left (DHM.AR)",1160,"DIMAR","Democratic Left","Greece"
"Democratic Left (DIMAR)",1160,"DIMAR","Democratic Left","Greece"
"Democratic Revival",648,"DIANA","Democratic Renewal","Greece"
"Drasi",1130,"D — FS","Action — Liberal Alliance","Greece"
"Drassi",1130,"D — FS","Action — Liberal Alliance","Greece"
"ELLINES",,,,"Greece"
"Ecologist Green",378,"OP","Ecologist Greens","Greece"
"Ecologists - Greens",378,"OP","Ecologist Greens","Greece"
"Ecologists-Greens (Oikologoi Prasinoi)",378,"OP","Ecologist Greens","Greece"
"Ethniki Dimiourgia",,,,"Greece"
"European Realistic Disobedience Front",7348,"MeRA25","European Realistic Disobedience Front","Greece"
"Free Homeland",,,,"Greece"
"Front of the Greek Anticapitalist Left",95,"Antarsya","Front of the Greek Anticapitalist Left","Greece"
"Golden Dawn",1660,"LS/CA","People's Association / Golden Dawn","Greece"
"Golden Dawn (Chrysi Avgi)",1660,"LS/CA","People's Association / Golden Dawn","Greece"
"Golden Dawn (Xrusi Augi)",1660,"LS/CA","People's Association / Golden Dawn","Greece"
"Golden Dawn/Chrysi Avgi (XA)",1660,"LS/CA","People's Association / Golden Dawn","Greece"
"Greek Anticapitalist Left-Workers Revolutionary Party",,,,"Greece"
"Greek Solution",7347,"EL","Greek Solution","Greece"
"Greek Solution (Elliniki Lysi)",7347,"EL","Greek Solution","Greece"
"Greek Solution (Elliniki Lysi) (EL)",7347,"EL","Greek Solution","Greece"
"Greens",378,"OP","Ecologist Greens","Greece"
"Independent Greeks",1651,"ANEL","Independent Greeks","Greece"
"Independent Greeks - National Patriotic Alliance",1651,"ANEL","Independent Greeks","Greece"
"KKE (Communist party)",48,"KKE","Communist Party of Greece","Greece"
"KKE Communist Party)",48,"KKE","Communist Party of Greece","Greece"
"LAOS (Popular Orthodox Party)",965,"LAOS","Popular Orthodox Rally","Greece"
"LeftWing-Communists",,,,"Greece"
"LeftWing-Socialists",,,,"Greece"
"MERA 25",7348,"MeRA25","European Realistic Disobedience Front","Greece"
"Movement for Change",7909,"KINAL","Movement for Change","Greece"
"Movement for Change (Kinima Allagis) (KINAL) (PASOK and Dimokratiki Symparataxi)",,,,"Greece"
"Movement for Change (Kinima Allagis) (KINAL) (PASOK and Movement of Democratic Socialists,",,,,"Greece"
"Movement for Change (Kinima Allagis) (KINAL) (PASOK, Democratic Left, Potami, and Dimokrat",,,,"Greece"
"Movement for Change (Kinima Allagis) (PASOK, Democratic Left, Potami, and Dimokratiki Symparataxi)",,,,"Greece"
"Movement of Democratic Socialists",3212,"KIDISO","Movement of Democratic Socialists","Greece"
"ND (New Democracy)",794,"ND","New Democracy","Greece"
"New Democracy",794,"ND","New Democracy","Greece"
"New Democracy (N. D.)",794,"ND","New Democracy","Greece"
"New Democracy (ND)",794,"ND","New Democracy","Greece"
"New Democracy - ND",794,"ND","New Democracy","Greece"
"New Right",,,,"Greece"
"PASOK (Panhellenic Socialist Movement)",1468,"PASOK","Panhellenic Socialist Movement","Greece"
"PASOK-KINAL(Kinima Allagis)",,,,"Greece"
"Pan-Hellenic Socialist Movement",1468,"PASOK","Panhellenic Socialist Movement","Greece"
"Pan-Hellenic Socialist Movement - PASOK",1468,"PASOK","Panhellenic Socialist Movement","Greece"
"Panhellenic Citizen Chariot",,,,"Greece"
"Panhellenic Socialist Movement  PASOK",1468,"PASOK","Panhellenic Socialist Movement","Greece"
"Panhellenic Socialist Movement (PA.SO.K)",1468,"PASOK","Panhellenic Socialist Movement","Greece"
"Panhellenic Socialist Movement (PASOK)/Dimokratiki",,,,"Greece"
"People's Association / Golden Dawn",1660,"LS/CA","People's Association / Golden Dawn","Greece"
"Pirate Party of Greece",,,,"Greece"
"Popular Association - Golden Dawn",1660,"LS/CA","People's Association / Golden Dawn","Greece"
"Popular Orhtodox Rally - LAOS",965,"LAOS","Popular Orthodox Rally","Greece"
"Popular Orthodox Rally",965,"LAOS","Popular Orthodox Rally","Greece"
"Popular Orthodox Rally (LA.O.S)",965,"LAOS","Popular Orthodox Rally","Greece"
"Popular Orthodox Rally - LAOS",965,"LAOS","Popular Orthodox Rally","Greece"
"Popular Unity",4512,"LE","Popular Unity","Greece"
"Popular Unity (Laiki Enotita)",4512,"LE","Popular Unity","Greece"
"Potami",3118,"TP","The River","Greece"
"Recreate Greece",471,"DX","Recreate Greece","Greece"
"RightWing",,,,"Greece"
"SYN (Left Wing Coalition)",516,"SYN","Coalition of the Left","Greece"
"SYRIZA",301,"SYRIZA","Coalition of the Radical Left","Greece"
"SocialisticParty",,,,"Greece"
"Society",,,,"Greece"
"The Coalition of the Radical Left (SYRIZA)",301,"SYRIZA","Coalition of the Radical Left","Greece"
"The Communist Party of Greece (KKE)",48,"KKE","Communist Party of Greece","Greece"
"The Ecologist Greens (OP)",378,"OP","Ecologist Greens","Greece"
"The Front of the Greek Anticapitalist Left (ANTARSYA)",95,"Antarsya","Front of the Greek Anticapitalist Left","Greece"
"The Front of the Greek Anticapitalist Left (ANTARSYA)",95,"Antarsya","Front of the Greek Anticapitalist Left","Greece"
"The Front of the Greek Anticapitalist Left (ANTARSYA)",95,"Antarsya","Front of the Greek Anticapitalist Left","Greece"
"The Independent Greeks",1651,"ANEL","Independent Greeks","Greece"
"The Liberal Alliance (FS)",1130,"D — FS","Action — Liberal Alliance","Greece"
"The Panhellenic Socialist Movement (PASOK)",1468,"PASOK","Panhellenic Socialist Movement","Greece"
"The Popular Orthodox Rally (LAOS)",965,"LAOS","Popular Orthodox Rally","Greece"
"The Popular Orthodox Rally (LAOS)",965,"LAOS","Popular Orthodox Rally","Greece"
"The Popular Orthodox Rally (LAOS)",965,"LAOS","Popular Orthodox Rally","Greece"
"The River",3118,"TP","The River","Greece"
"Union of Centrists",2510,"EK","Union of Centrists","Greece"
"Union of Centrists (Enosi Kentro)",2510,"EK","Union of Centrists","Greece"
"Union of Centrists (Enosi Kentroom)",2510,"EK","Union of Centrists","Greece"
"Union of Centrists (Enosi Kentroon)",2510,"EK","Union of Centrists","Greece"
"United Popular Front",7111,"APF","All People Front","Greece"
"Ένωση Κεντρώων",2510,"EK","Union of Centrists","Greece"
"Ανταρσία",95,"Antarsya","Front of the Greek Anticapitalist Left","Greece"
"Ελληνική Λύση",7347,"EL","Greek Solution","Greece"
"ΚΙΝ.ΑΛ.",7909,"KINAL","Movement for Change","Greece"
"ΚΙΝΑ.ΑΛ",7909,"KINAL","Movement for Change","Greece"
"ΚΚΕ",48,"KKE","Communist Party of Greece","Greece"
"ΛΑΟΣ",965,"LAOS","Popular Orthodox Rally","Greece"
"ΜέΡΑ25",7348,"MeRA25","European Realistic Disobedience Front","Greece"
"ΝΔ",794,"ND","New Democracy","Greece"
"Νίκη",9126,"Niki","Democratic Patriotic Movement 'Victory'","Greece"
"Νεά Αριστερά",9316,"NE.AR","New Left","Greece"
"Οικολόγοι Πράσινοι",378,"OP","Ecologist Greens","Greece"
"Πλεύση Ελευθερίας",9088,"PE","Course of Freedom","Greece"
"ΣΥΡΙΖΑ",301,"SYRIZA","Coalition of the Radical Left","Greece"
"Σπαρτιάτες",9129,"Sp","Spartans","Greece"
"Χρυσή Αυγή",1660,"LS/CA","People's Association / Golden Dawn","Greece"
"Come on or Let's go",7910,"Vamos","Come on or Let's go","Guatemala"
"FRG",941,"FRG","Guatemalan Republican Front","Guatemala"
"GANA",538,"GANA","Grand National Alliance","Guatemala"
"GT: Acción Reconciliadora Democrática (ARDE)",4329,"ARDE","Democratic Reconciliatory Action","Guatemala"
"GT: Alianza Nueva Nación (ANN)",1097,"ANN","New Nation Alternative","Guatemala"
"GT: Centro de Acción Social (CASA)",4426,"CASA","Social Action Center","Guatemala"
"GT: Compromiso Renovación y Orden (CREO)",4424,"CREO","Renovation and Order Compromise/Commitment, Renewal and Order","Guatemala"
"GT: Democracia Cristiana Guatemalteca (DCG)",1322,"DCG","Guatemalan Christian Democracy","Guatemala"
"GT: Desarrollo Integral Auténtico (DIA)",2487,"INT","Authentic Integral Development","Guatemala"
"GT: Encuentro por Guatemala",1413,"EG","Encounter for Guatemala","Guatemala"
"GT: Encuentro por Guatemala (EG)",1413,"EG","Encounter for Guatemala","Guatemala"
"GT: Frente Democrático Nueva Guatemala (FDNG)",4336,"FDNG","Democratic Front New Guatemala","Guatemala"
"GT: Frente Republicano Guatemalteco (FRG)",941,"FRG","Guatemalan Republican Front","Guatemala"
"GT: Frente de Convergencia Nacional (FCN-Nación)",5955,"FCN","National Convergence Front","Guatemala"
"GT: Gran Alianza Nacional (GANA)",538,"GANA","Grand National Alliance","Guatemala"
"GT: Libertad Democrática Renovada (LIDER)",4337,"LIDER","Renewed Democratic Liberty","Guatemala"
"GT: Los Verdes (LV)",,,,"Guatemala"
"GT: Movimiento de Liberación Nacional (MLN)",4334,"MLN","National Liberation Movement Party","Guatemala"
"GT: Partido Patriota (PP)",524,"PP","Patriotic Party","Guatemala"
"GT: Partido Político Visión con Valores (VIVA)",6856,"ViVa","Vision with Values","Guatemala"
"GT: Partido Unionista (PU)",71,"PU","Unionist Party","Guatemala"
"GT: Partido de Avanzada Nacional (PAN)",1035,"PAN","National Advancement Party","Guatemala"
"GT: Unidad Nacional de Esperanza (UNE)",1668,"UNE","National Unity of Hope","Guatemala"
"GT: Unidad Nacionalista Organizada (UNO)",,,,"Guatemala"
"GT: Unidad Revolucionaria Nacional Guatemalteca (URNG)",5971,"URNG","Guatemalan National Revolutionary Unity","Guatemala"
"GT: Unión Democrática (UD)",4330,"UD","Democratic Union","Guatemala"
"GT: Unión del Cambio Nacional (UCN)",706,"UCN","National Change Union","Guatemala"
"GT: Victoria (VICTORIA)",,,,"Guatemala"
"National Unity of Hope",1668,"UNE","National Unity of Hope","Guatemala"
"PAN",1035,"PAN","National Advancement Party","Guatemala"
"UNE",1668,"UNE","National Unity of Hope","Guatemala"
"Bloc Libéral (BL)",,,,"Guinea"
"Bloc Libéral -BL",,,,"Guinea"
"DADIS",,,,"Guinea"
"Guinée pour Tous",4278,"GPT","Guinea for All","Guinea"
"Mamadi Doumbouya",,,,"Guinea"
"Nouvelle Generation pour la Republique",8741,"NGR","New Generation for the Republic","Guinea"
"Nouvelles Forces Démocratiques",,,,"Guinea"
"Parti  de l' Espoir pour le Développement National",4277,"PEDN","Party of Hope for National Development","Guinea"
"Parti de l'Espoir pour le Developpement National (PEDN)",4277,"PEDN","Party of Hope for National Development","Guinea"
"Parti de l'Espoir pour le Développement National (PEDN)",4277,"PEDN","Party of Hope for National Development","Guinea"
"Parti de l'Espoir pour le Développement National -PEDN",4277,"PEDN","Party of Hope for National Development","Guinea"
"Parti de l'Unité et du Progrés",5780,"PUP","Unity and Progress Party","Guinea"
"Rassemblement Des Républicains",,,,"Guinea"
"Rassemblement du Peuple de Guinée",4063,"RPG","Rally of the People of Guinea Rainbow","Guinea"
"Rassemblement du Peuple de Guinée (RPG)",4063,"RPG","Rally of the People of Guinea Rainbow","Guinea"
"Rassemblement du Peuple de Guinée -RPG",4063,"RPG","Rally of the People of Guinea Rainbow","Guinea"
"Rassemblement pour le Developpement Intégré de la Guinée (RDIG)",4062,"RIDG","Rally for the Integral Development of Guinea","Guinea"
"Rassemblement pour le Développement Intégré de la Guinée",4062,"RIDG","Rally for the Integral Development of Guinea","Guinea"
"Rassemblement pour le Développement Intégré de la Guinée (RDIG)",4062,"RIDG","Rally for the Integral Development of Guinea","Guinea"
"Rassemblement pour le Développement Intégré de la Guinée -RDIG",4062,"RIDG","Rally for the Integral Development of Guinea","Guinea"
"Union Démocratique de Guinée (UDG)",,,,"Guinea"
"Union Démocratique de Guinée -UDG",,,,"Guinea"
"Union des Forces  Democratique de la  Guinée",4274,"UFDG","Union of Democratic Forces of Guinea","Guinea"
"Union des Forces  Republicaines",4275,"UFR","Union of Republican Forces","Guinea"
"Union des Forces Démocratiques de Guinée (UFDG)",4274,"UFDG","Union of Democratic Forces of Guinea","Guinea"
"Union des Forces Démocratiques de Guinée -UFDG",4274,"UFDG","Union of Democratic Forces of Guinea","Guinea"
"Union des Forces Républicaines (UFR)",4275,"UFR","Union of Republican Forces","Guinea"
"Union des Forces Républicaines -UFR",4275,"UFR","Union of Republican Forces","Guinea"
"Union pour le Progrès de la Guinée (UPG)",4273,"UPG","Union for Progress of Guinea","Guinea"
"Union pour le Progrès de la Guinée -UPG",4273,"UPG","Union for Progress of Guinea","Guinea"
"Union pour le Progrès et du Renouveau",4276,"UPR","Union for Progress and Renewal","Guinea"
"Union pour le progrés",4273,"UPG","Union for Progress of Guinea","Guinea"
"Alternative for Progress and Democracy",5905,"Alternativ","Alternative for Progress and Democracy","Haiti"
"Child of Dessalines Platform - Jean-Charles Moïse",,,,"Haiti"
"Haitian Bald Head Party",7253,"PHTK","Haitian Bald Head Party","Haiti"
"Konviksyon (Irvenson Steven Benoit)",,,,"Haiti"
"Lavalas Family",5268,"FL","Lavalas Family","Haiti"
"Lavalas Political Organization / Struggling People's Or",5602,"OPL","Lavalas Political Organization / Struggling People's Organization","Haiti"
"Movement for Socialist Action",,,,"Haiti"
"Renmen Ayiti (Jean Henry Céant)",8331,"RA","Love Haiti","Haiti"
"Réseau Bouclier National (Steeve Khawly)",,,,"Haiti"
"HO: El Partido Anti Corrupción (PAC)",5160,"PAC","Anti-Corruption Party","Honduras"
"HO: El Partido Libertad y Refundacion (LIBRE)",5161,"LIBRE","Liberty and Refoundation","Honduras"
"HO: El Partido Libertad y Refundación (LIBRE)",5161,"LIBRE","Liberty and Refoundation","Honduras"
"HO: Frente Republicano Guatemalteco (FRG)",,,,"Honduras"
"HO: Gran Alianza Nacional (GANA)",,,,"Honduras"
"HO: Partido Democrata Cristiano de Honduras (PDCH)",1460,"DC","Christian Democratic Party of Honduras","Honduras"
"HO: Partido Demócrata Cristiano de Honduras (PDCH)",1460,"DC","Christian Democratic Party of Honduras","Honduras"
"HO: Partido Innovacion y Unidad (PINU)",1703,"PINU","Innovation and Unity Party","Honduras"
"HO: Partido Innovación y Unidad (PINU)",1703,"PINU","Innovation and Unity Party","Honduras"
"HO: Partido Liberal (PL)",593,"PLH","Liberal Party of Honduras","Honduras"
"HO: Partido Nacional de Honduras (PNH)",1416,"PNH","National Party of Honduras","Honduras"
"HO: Partido Salvador de Honduras (PSH)",,,,"Honduras"
"HO: Partido de Union Democratica (PUD)",1051,"PUD","Democratic Unification Party","Honduras"
"HO: Partido de Unión Democrática (PUD)",1051,"PUD","Democratic Unification Party","Honduras"
"HO: Unidad Nacional de la Esperanza (UNE)",,,,"Honduras"
"HO: Union Democratica (UD)",,,,"Honduras"
"AFD (Free Democr)",910,"SzDSz","Alliance of Free Democrats","Hungary"
"AFD Alliance Free Dem",910,"SzDSz","Alliance of Free Democrats","Hungary"
"AFD-Alliance of Free Democrats",910,"SzDSz","Alliance of Free Democrats","Hungary"
"Agrarian party",1132,"ASZ","Agrarian Alliance","Hungary"
"Agrarszovetseg-Agrarian Alliance",1132,"ASZ","Agrarian Alliance","Hungary"
"Alliance for Hungary - Center Party",,,,"Hungary"
"Alliance of Free Democrats",910,"SzDSz","Alliance of Free Democrats","Hungary"
"Alliance of Young Democrats",1691,"Fidesz","Fidesz — Hungarian Civic Alliance","Hungary"
"CDPP (Chr Demo)",1412,"KDNP","Christian Democratic People's Party","Hungary"
"CDPP Christ Dem Peopl",1412,"KDNP","Christian Democratic People's Party","Hungary"
"CDPP-Christ Democr Peoples P",1412,"KDNP","Christian Democratic People's Party","Hungary"
"CDPP-Christ.Democr.People s P",1412,"KDNP","Christian Democratic People's Party","Hungary"
"CDPP-Christian Democratic Peoples Party",1412,"KDNP","Christian Democratic People's Party","Hungary"
"Center Party",1779,"CP","Centre Party","Hungary"
"Centre Party",1779,"CP","Centre Party","Hungary"
"Centrumpárt",1779,"CP","Centre Party","Hungary"
"Christian Democratic People's Party",1412,"KDNP","Christian Democratic People's Party","Hungary"
"Christian Democratic People's Party (KDNP)",1412,"KDNP","Christian Democratic People's Party","Hungary"
"Christian Democratic Peoples Party",1412,"KDNP","Christian Democratic People's Party","Hungary"
"Christian Democratic Peoples Party - CDPP",1412,"KDNP","Christian Democratic People's Party","Hungary"
"DK (Demokratikus Koalíció)",469,"DK","Democratic Coalition","Hungary"
"Democratic Coalition (DK)",469,"DK","Democratic Coalition","Hungary"
"Democratic Coalition - DK",469,"DK","Democratic Coalition","Hungary"
"Democratic Coalition - DK, Demokratikus Koalicio",469,"DK","Democratic Coalition","Hungary"
"Democratic Coalition - Demokratikus Koalicio (DK)",469,"DK","Democratic Coalition","Hungary"
"Demokratikus Koalíció (Democratic Coalition)",469,"DK","Democratic Coalition","Hungary"
"Demokratikus Koalíció, DK",469,"DK","Democratic Coalition","Hungary"
"Dialogue for Hungary (PM)",3115,"PM","Dialogue for Hungary","Hungary"
"Dialogue for Hungary - PM, Parbeszed Magyarorszagert",3115,"PM","Dialogue for Hungary","Hungary"
