"piler_party","party_id","party_code","party_name","Country","X5"
"African Party of Independence of Cape Verde (PAICV)",3796,"PAICV","African Party for the Independence of Cape Verde","Cape Verde",
"Party for Democratic Convergence (PCD)",3770,"PCD","Party for Democratic Convergence","Cape Verde",
"Democratic Socialist Party (PSD)",,,"|","Cape Verde",
"Party of Labour and Solidarity (PTS)",,,"|","Cape Verde",
"Cape Verdean Union Independent and Democratic (UCID)",3792,"UCID","Independent and Democratic Union of Cape Verde","Cape Verde",
"Movement for Democracy (MDP)",,,"|","Cape Verde",
"Party for Democratic Renewal (PRD)",3794,"PRD","Democratic Renovation Party","Cape Verde",
"African Party for Independence of Cape Verde (PAICV)",3796,"PAICV","African Party for the Independence of Cape Verde","Cape Verde",
"Popular Party (PP)",,,"|","Cape Verde",
"Movimento para Democracia (MpD)",3793,"MPD","Movement for Democracy","Cape Verde",
"Partido Africano para a Independência de Cabo Verde (PAICV)",3796,"PAICV","African Party for the Independence of Cape Verde","Cape Verde",
"Partido do Trabalho e da Solidariedade (PTS",,,"|","Cape Verde",
"União Cabo-verdiana Independente e Democrática (UCID)",3792,"UCID","Independent and Democratic Union of Cape Verde","Cape Verde",
"Partido Popular (PP)",,,"|","Cape Verde",
"Partido do Trabalho e da Solidariedade (PTS)",,,"|","Cape Verde",
"Christian Democratic Party",390,"PDC","Christian Democratic Party","Chile",
"Socialist Party",6,"PS","Socialist Party of Chile","Chile",
"Independent Democratic Union",1599,"UDI","Independent Democratic Union","Chile",
"National Renewal",928,"RN","National Renewal","Chile",
"Party for Democracy",54,"PPD","Party for Democracy","Chile",
"Communist Party of Chile",162,"PC","Communist Party of Chile","Chile",
"Radical Social-democratic Party",437,"PRSD","Social Democrat Radical Party","Chile",
"Humanist Party",209,"PH","Humanist Party","Chile",
"Progressive Center-Center Union",6119,"UCC","Union of the Centrist Center","Chile",
"9999990. OTHER LEFT WING CANDIDATE/PARTY",,,,"Chile",
"9999991. OTHER RIGHT WING CANDIDATE/PARTY",,,,"Chile",
"Concertation of Parties for Democracy",4550,"C","Coalition of Parties for Democracy","Chile",
"Together We Can",4549,"PODEMOS","Together we can do more for Chile","Chile",
"Coalition for Change",6061,"A","Alliance","Chile",
"Progressive Party",7017,"PRO","Progressive Party","Chile",
"Electoral list of Marco Enriquez-Ominamo",,,,"Chile",
"Socialist Party of Chile",6,"PS","Socialist Party of Chile","Chile",
"Democratic Revolution",6911,"DR","Democratic Revolution","Chile",
"Political Evolution",7021,"EP","Political Evolution","Chile",
"Social Democrat Radical Party",437,"PRSD","Social Democrat Radical Party","Chile",
"Socialist Party - PS",6,"PS","Socialist Party of Chile","Chile",
"Chilean Socialist Party",6,"PS","Socialist Party of Chile","Chile",
"Christian Democratic",390,"PDC","Christian Democratic Party","Chile",
"Democracy Party PPD",54,"PPD","Party for Democracy","Chile",
"Independent Democratic",1599,"UDI","Independent Democratic Union","Chile",
"National Renewal Party",928,"RN","National Renewal","Chile",
"Progressive Centre",6119,"UCC","Union of the Centrist Center","Chile",
"Radical Social Democratic",437,"PRSD","Social Democrat Radical Party","Chile",
"Independent National Alliance",,,,"Chile",
"Radical Social Democratic Party",437,"PRSD","Social Democrat Radical Party","Chile",
"Nation. Renewal Prty",928,"RN","National Renewal","Chile",
"Chilean Socialist P",6,"PS","Socialist Party of Chile","Chile",
"Nation. Renewal Party",928,"RN","National Renewal","Chile",
"Democracy Party - PPD",54,"PPD","Party for Democracy","Chile",
"Christian Democrat Party - PDC",390,"PDC","Christian Democratic Party","Chile",
"National Renewal Party - RN",928,"RN","National Renewal","Chile",
"Communist Party of Chile - PCCH",162,"PC","Communist Party of Chile","Chile",
"Chilean Socialist Party - PS",6,"PS","Socialist Party of Chile","Chile",
"Independent Democrat Union-UDI",1599,"UDI","Independent Democratic Union","Chile",
"Humanist Party - PH",209,"PH","Humanist Party","Chile",
"Radical Social Democratic - PRSD",437,"PRSD","Social Democrat Radical Party","Chile",
"Independent Democratic Party",1599,"UDI","Independent Democratic Union","Chile",
"Regionalist Independent Party, PRI",1748,"PRI","Independent Regionalist Party","Chile",
"Chile First, CH1",,,,"Chile",
"Party of Democracy - PPD",54,"PPD","Party for Democracy","Chile",
"Christian Democratic Party - PDC",390,"PDC","Christian Democratic Party","Chile",
"Democratic Independent Union - UDI",1599,"UDI","Independent Democratic Union","Chile",
"Regionalist Independent Party - PRI",1748,"PRI","Independent Regionalist Party","Chile",
"Radical Social Democratic Party - PRSD",437,"PRSD","Social Democrat Radical Party","Chile",
"Independent Regionalist Party - PRI",1748,"PRI","Independent Regionalist Party","Chile",
"Progresist Party - PRO",7017,"PRO","Progressive Party","Chile",
"Independent Democratic Union - UDI",1599,"UDI","Independent Democratic Union","Chile",
"Socialist Party of Chile - PS",6,"PS","Socialist Party of Chile","Chile",
"Democratic Party - PPD",54,"PPD","Party for Democracy","Chile",
"Communist Party of Chile - PC",162,"PC","Communist Party of Chile","Chile",
"CL: Partido DemÃ³crata Cristiano (PDC)",390,"PDC","Christian Democratic Party","Chile",
"CL: Partido por la Democracia (PPD)",54,"PPD","Party for Democracy","Chile",
"CL: Partido Socialista (PS)",6,"PS","Socialist Party of Chile","Chile",
"CL: Partido Radical Social DemÃ³crata (PRSD)",437,"PRSD","Social Democrat Radical Party","Chile",
"CL: UniÃ³n DemÃ³crata Independiente (UDI)",1599,"UDI","Independent Democratic Union","Chile",
"CL: RenovaciÃ³n Nacional (RN)",928,"RN","National Renewal","Chile",
"CL: Partido Comunista (PC)",162,"PC","Communist Party of Chile","Chile",
"CL: UniÃ³n de Centro Centro Progresista (UCCP)",6119,"UCC","Union of the Centrist Center","Chile",
"CL: Partido Humanista Verde (PHV)",,,,"Chile",
"CL: Independiente",,,,"Chile",
"CL: Alianza por Chile",6061,"A","Alliance","Chile",
"CL: ConcertaciÃ³n",4550,"C","Coalition of Parties for Democracy","Chile",
"CL: ConcertaciÃ³n de Partidos por la Democracia",4550,"C","Coalition of Parties for Democracy","Chile",
"CL: Juntos Podemos",4549,"PODEMOS","Together we can do more for Chile","Chile",
"CL: JoaquÃ­n LavÃ­n",,,,"Chile",
"CL: SebastiÃ¡n PiÃ±era",,,,"Chile",
"CL: Michelle Bachelet",,,,"Chile",
"CL: TomÃ¡s Hirsch",,,,"Chile",
"CL: Partido Humanista (PH)",209,"PH","Humanist Party","Chile",
"CL: Partido Regionalista de los Independiente (PRI)",1748,"PRI","Independent Regionalist Party","Chile",
"CL: Partido Demócrata Cristiano (PDC)",390,"PDC","Christian Democratic Party","Chile",
"CL: Partido Radical Social Democrático (PRSD)",437,"PRSD","Social Democrat Radical Party","Chile",
"CL: Unión Demócrata Independiente (UDI)",1599,"UDI","Independent Democratic Union","Chile",
"CL: Renovación Nacional (RN)",928,"RN","National Renewal","Chile",
"CL: Partido Progresista (MEO)",,,,"Chile",
"CL: Partido Democrata Cristiano (PDC)",390,"PDC","Christian Democratic Party","Chile",
"CL: Union Democrata Independiente (UDI)",1599,"UDI","Independent Democratic Union","Chile",
"CL: Renovacion Nacional (RN)",928,"RN","National Renewal","Chile",
"CL: Partido Evolucion Politica (Evopoli)",7021,"EP","Political Evolution","Chile",
"CL: Revolucion Democratica (RD)",6911,"DR","Democratic Revolution","Chile",
"CL: Partido Liberal",4633,"PL","Liberal Party","Chile",
"CL: Chile Vamos",,,,"Chile",
"CL: Frente Amplio",,,,"Chile",
"CL: Partido Progresista (PRO)",7017,"PRO","Progressive Party","Chile",
"CL: Partido Evolución Política (Evópoli)",7021,"EP","Political Evolution","Chile",
"CL: Revolución Democrática (RD)",6911,"DR","Democratic Revolution","Chile",
"CL: Partido Radical de Chile (PR)",256,"PR","Radical Party","Chile",
"CL: Amplitud",7020,"A","Amplitude","Chile",
"CL: Partido Republicano de Chile (PLR)",,,,"Chile",
"CL: Partido por la dignidad",,,,"Chile",
"CL: Partido Convergencia social",,,,"Chile",
"Union Democrata Independiente, UDI",1599,"UDI","Independent Democratic Union","Chile",
"Partido Socialista, PS",6,"PS","Socialist Party of Chile","Chile",
"Partido por la democracia, PPD",54,"PPD","Party for Democracy","Chile",
"Partido Democrata Cristiano, PDC",390,"PDC","Christian Democratic Party","Chile",
"Renovacion Nacional, RN",928,"RN","National Renewal","Chile",
"Partido Humanista, PH",209,"PH","Humanist Party","Chile",
"Partido Comunista, PC",162,"PC","Communist Party of Chile","Chile",
"Partido Regionalista de los Independientes, PRI",1748,"PRI","Independent Regionalist Party","Chile",
"Partido Radical Socialdemocratico, PRSD",437,"PRSD","Social Democrat Radical Party","Chile",
"Partido Demócrata Cristiano, PDC",390,"PDC","Christian Democratic Party","Chile",
"Partido por la Democracia, PPD",54,"PPD","Party for Democracy","Chile",
"Renovación Nacional, RN",928,"RN","National Renewal","Chile",
"Partido Radical Social Demócrata, PSRD",437,"PRSD","Social Democrat Radical Party","Chile",
"Unión Demócrata Independiente, UDI",1599,"UDI","Independent Democratic Union","Chile",
"Union Democrata Independiente, UDI (Union of Independent Democrats)",1599,"UDI","Independent Democratic Union","Chile",
"Renovacion Nacional, RN (National Renovation)",928,"RN","National Renewal","Chile",
"Partido Radical Social Democratico, PRSD (Radical Social Democratic Party)",437,"PRSD","Social Democrat Radical Party","Chile",
"Partido Socialista, PS (Socialist Party)",6,"PS","Socialist Party of Chile","Chile",
"Partido Comunista, PC (Communist party)",162,"PC","Communist Party of Chile","Chile",
"Partido Democrata Cristiano, PDC (Christian Democratic Party)",390,"PDC","Christian Democratic Party","Chile",
"Union de Centro Centro Progresista  - UCCP (Progressive Union of the Centrist Center )",6119,"UCC","Union of the Centrist Center","Chile",
"Partido Por la Democracia, PPD (Party for Democracy)",54,"PPD","Party for Democracy","Chile",
"Partido Humanista Verde - PHV (Green Party)",,,,"Chile",
"Union of the Centrist Center",6119,"UCC","Union of the Centrist Center","Chile",
"Radical Party of Chile",256,"PR","Radical Party","Chile",
"Partidos de derecha (Right parties)",,,,"Chile",
"Partidos de izquierda (Left parties)",,,,"Chile",
"Alianza por el Cambio - Antes Alianza por Chile (Alliance for Change - Former Alliance for Chile)",6061,"A","Alliance","Chile",
"Concertacion",4550,"C","Coalition of Parties for Democracy","Chile",
"Independent Regionalist Party",1748,"PRI","Independent Regionalist Party","Chile",
"Equality Party",7018,"PI","Equality Party","Chile",
"Liberal Party of Chile",7019,"PLC","Liberal Party of Chile","Chile",
"Green Ecologist Party",7016,"GEP","Green Ecologist Party","Chile",
"Broad Social Movement",812,"MAS","Broad Social Movement","Chile",
"Citizen Left Party of Chile",7984,"IC","Christian Left Party of Chile / Citizen Left Party of Chile","Chile",
"Amplitude",7020,"A","Amplitude","Chile",
"Communist Party",5124,"CPC","Communist Party of China","China",
"National Party",,,,"China",
"Communist party",5124,"CPC","Communist Party of China","China",
"Communist youth league",,,,"China",
"Communist Youth League",,,,"China",
"Liberal",362,"PLC","Colombian Liberal Party","Colombia",
"Democratic Center Party",5879,"CD","Democratic Centre — ""Strong Hand, Big Heart""","Colombia",
"CO: Partido Conservador Colombiano (PCC)",1577,"PCC","Colombian Conservative Party","Colombia",
"CO: Partido Liberal Colombiano (PLC)",362,"PLC","Colombian Liberal Party","Colombia",
"CO: Partido Cristiano",5114,"UC","Christian Union","Colombia",
"CO: UniÃ³n PatriÃ³tica",5115,"UP","Patriotic Union","Colombia",
"CO: Movimiento UniÃ³n Cristiana",5114,"UC","Christian Union","Colombia",
"CO: Alianza DemocrÃ¡tica M19",4852,"AD/M-19","M-19 Democratic Alliance","Colombia",
"CO: Movimiento SalvaciÃ³n Nacional",4853,"MSN","National Salvation Movement","Colombia",
"CO: Movimiento Fuerza Progresista",,,,"Colombia",
"CO: Movimiento CÃ­vico Independiente",,,,"Colombia",
"CO: Movimiento Ãnico de RenovaciÃ³n Conservador MURCO",,,,"Colombia",
"CO: Movimiento Corriente de RenovaciÃ³n Socialista",,,,"Colombia",
"CO: Movimiento Independiente Obrero y Revolucionario MOIR",,,,"Colombia",
"CO: Movimiento Ciudadano",,,,"Colombia",
"CO: Movimiento Nacional Conservador",5113,"MNC","National Conservative Movement","Colombia",
"CO: Independiente (IN)",,,,"Colombia",
"CO: Partido Polo DemocrÃ¡tico Alternativo (PDA)",218,"PDA","Alternative Democratic Pole","Colombia",
"CO: Partido Social de Unidad Nacional, Partido de la U",759,"P-U","Social Party of National Unity","Colombia",
"CO: Partido Cambio Radical (CR)",561,"CR","Radical Change","Colombia",
"CO: Alas Equipo Colombia",569,"AEC","Team Colombia","Colombia",
"CO: Partido Convergencia Ciudadana",1107,"PCC","Citizens' Convergence","Colombia",
"CO: Movimiento MIRA",1774,"MIRA","Independent Absolute Renovation Movement","Colombia",
"CO: Partido Colombia DemocrÃ¡tica",3818,"PCD","Democratic Colombia Party","Colombia",
"CO: Movimiento Colombia Viva",,,,"Colombia",
"CO: Movimiento Apertura Liberal",710,"MAL","Liberal Opening Movement","Colombia",
"CO: Alianza Social IndÃ­gena",8761,"AICO","Indigenous Authorities of Colombia","Colombia",
"CO: Partido Verde OpciÃ³n Centro (PVC)",3814,"PVO","Oxygen Green Party","Colombia",
"CO: Partido Polo Democrático Alternativo (PDA)",218,"PDA","Alternative Democratic Pole","Colombia",
"CO: Partido Verde Opción Centro (PVC)",3814,"PVO","Oxygen Green Party","Colombia",
"CO: Movimiento Alianza Social Indígena (ASI)",8761,"AICO","Indigenous Authorities of Colombia","Colombia",
"CO: Partido de Integración Nacional (PIN)",3817,"PIN / OC","National Integration Party / Citizen Option","Colombia",
"CO: Movimiento Nacional Afrocolombiano AFRO",,,,"Colombia",
"CO: Movimiento Alianza Social Afrocolombiana",,,,"Colombia",
"CO: Partido Cambio Radical (PCR)",561,"CR","Radical Change","Colombia",
"CO: Movimiento Autoridades Indígenas de Colombia (AICO)",8761,"AICO","Indigenous Authorities of Colombia","Colombia",
"CO: Centro Democrático (CD)",5879,"CD","Democratic Centre — ""Strong Hand, Big Heart""","Colombia",
"CO: Unión Patriótica",5115,"UP","Patriotic Union","Colombia",
"CO: Alianza Verde (PVC)",5926,"AV","Green Alliance","Colombia",
"CO: Alianza Social Independiente (ASI)",8761,"AICO","Indigenous Authorities of Colombia","Colombia",
"CO: Opción Ciudadana (PIN)",3817,"PIN / OC","National Integration Party / Citizen Option","Colombia",
"CO:  Movimiento Alternativo Indigena y Social MAIS",,,,"Colombia",
"CO: Partido Polo Democratico Alternativo (PDA)",218,"PDA","Alternative Democratic Pole","Colombia",
"CO: Movimiento Autoridades Indigenas de Colombia (AICO)",8761,"AICO","Indigenous Authorities of Colombia","Colombia",
"CO: Movimiento Alternativo Indigena y Social MAIS",,,,"Colombia",
"CO: Centro Democratico",5879,"CD","Democratic Centre — ""Strong Hand, Big Heart""","Colombia",
"CO: Partido Somos Región Colombia antiguo Alas Equipo Colombia",,,,"Colombia",
"CO: Centro Democratico (CD)",5879,"CD","Democratic Centre — ""Strong Hand, Big Heart""","Colombia",
"CO: Movimiento Progresista/COLOMBIA HUMANA",,,,"Colombia",
"CO: Pacto historico",,,,"Colombia",
"Centro Democrático (Uribe)",5879,"CD","Democratic Centre — ""Strong Hand, Big Heart""","Colombia",
"Polo Democrático Alternativo",218,"PDA","Alternative Democratic Pole","Colombia",
"La U",759,"P-U","Social Party of National Unity","Colombia",
"Conservador",1577,"PCC","Colombian Conservative Party","Colombia",
"Alianza Verde",5926,"AV","Green Alliance","Colombia",
"Mira",1774,"MIRA","Independent Absolute Renovation Movement","Colombia",
"Cambio Radical",561,"CR","Radical Change","Colombia",
"Opción Ciudadana",3817,"PIN / OC","National Integration Party / Citizen Option","Colombia",
"Partido Liberal Colombiano (Colombian Liberal Party)",362,"PLC","Colombian Liberal Party","Colombia",
"Partido de la U (Social Party of National Unity – La U)",759,"P-U","Social Party of National Unity","Colombia",
"Partido Conservador Colombiano (Colombian Conservative Party)",1577,"PCC","Colombian Conservative Party","Colombia",
"Movimiento Independiente de Renovacion Absoluta (Mira Movement)",1774,"MIRA","Independent Absolute Renovation Movement","Colombia",
"Polo Democrático Alternativo (Alternative Democratic Pole)",218,"PDA","Alternative Democratic Pole","Colombia",
"Centro Democratico (Democratic Center)",5879,"CD","Democratic Centre — ""Strong Hand, Big Heart""","Colombia",
"Partido Verde Colombiano (Colombian Green Party)",5926,"AV","Green Alliance","Colombia",
"Partido Opción Ciudadana (Citizen Option Party)",3817,"PIN / OC","National Integration Party / Citizen Option","Colombia",
"Cambio Radical (Radical Change Party)",561,"CR","Radical Change","Colombia",
"Movimiento progresistas (Progressists Movement)",,,,"Colombia",
"Partido de la U",759,"P-U","Social Party of National Unity","Colombia",
"Cristiano",5114,"UC","Christian Union","Colombia",
"Alianza democratica M-19",4852,"AD/M-19","M-19 Democratic Alliance","Colombia",
"Partido Independiente de Renovacion Absoluta (MIRA)",1774,"MIRA","Independent Absolute Renovation Movement","Colombia",
"Partido de Integracion Nacional (PIN)",3817,"PIN / OC","National Integration Party / Citizen Option","Colombia",
"Polo Democratico Alternativo",218,"PDA","Alternative Democratic Pole","Colombia",
"Colombian Conservative Party",1577,"PCC","Colombian Conservative Party","Colombia",
"Colombian Liberal Party",362,"PLC","Colombian Liberal Party","Colombia",
"Social Party of National Unity",759,"P-U","Social Party of National Unity","Colombia",
"Radical Change",561,"CR","Radical Change","Colombia",
"Green Alliance",5926,"AV","Green Alliance","Colombia",
"Alternative Democratic Pole",218,"PDA","Alternative Democratic Pole","Colombia",
"Partido Independiente de Renovacion Absoluta",1774,"MIRA","Independent Absolute Renovation Movement","Colombia",
"Progressive Movement (Colombia)",,,,"Colombia",
"Parti Congolais du Travail (PCT)",5365,"PCT","Congolese Party of Labour","Congo - Brazzaville",
"Union Panafricaine pour la Démocratie Sociale (UPADS)",5364,"UPADS","Pan-African Union for Social Democracy","Congo - Brazzaville",
"Mouvement Action et Renouveau (MAR)",7994,"MAR","Action Movement for Renewal","Congo - Brazzaville",
"Rassemblement pour la Démocratie et le Progrès Social (RDPS)",5589,"RDSP","Rally for Democracy and Social Progress","Congo - Brazzaville",
"Dynamique Républicaine pour le Développement (DRD)",7640,"DRR","Dynamic for the Republic and Recovery","Congo - Brazzaville",
"Mouvement Congolais pour la Démocratie et le Développement Intégral (MCDDI)",5362,"MCDDI","Congolese Movement for Democracy and Integral Development","Congo - Brazzaville",
"Rassemblement Citoyen (RC)",,,,"Congo - Brazzaville",
"Parti Républicain et Libéral (PRL)",,,,"Congo - Brazzaville",
"La Chaîne",,,,"Congo - Brazzaville",
"Union pour la Restauration du Congo (URC)",,,,"Congo - Brazzaville",
"Union des Démocrates Humanistes-YUKI (UDH-YUKI)",,,,"Congo - Brazzaville",
"Mouvement pour l’Unité, la Solidarité et le Travail (MUST)",,,,"Congo - Brazzaville",
"Club 2002 Parti pour l’Unité et la République",,,,"Congo - Brazzaville",
"Union Patriotique pour la Démocratie et le Progrès (UPDP)",8941,"UPDP","Patriotic Union for Democracy and Progress","Congo - Brazzaville",
"Worker's Party",,,,"Costa Rica",
"Broad Front",1252,"FA","Broad Front","Costa Rica",
"New Republic Party",,,,"Costa Rica",
"National Liberation Party",1367,"PLN","National Liberation Party","Costa Rica",
"National Restoration Party",257,"PRN","National Restoration Party","Costa Rica",
"Citizens' Action Party",1247,"PAC","Citizens' Action Party","Costa Rica",
"Social Christian Unity Party",1199,"PUSC","Social Christian Unity Party","Costa Rica",
"National Integration Party",4418,"PIN","National Integration Party","Costa Rica",
"Social Christian Republican Party",8745,"PRSC","Social Christian Republican Party","Costa Rica",
"Libertarian Movement",842,"PML","Libertarian Movement Party","Costa Rica",
"Party Accesbility without Exclusion",504,"PASE","Accessibility without Exclusion","Costa Rica",
"New Generation Party",8744,"PNG","New Generation Party","Costa Rica",
"Costa Rican Renewal Party",864,"PRC","Costa Rican Renovation Party","Costa Rica",
"Liberal Progressive Party",7433,"PLP","Progressive Liberal Party","Costa Rica",
"CR: Partido Fuerza DemocrÃ¡tica (FD)",4230,"FD","Democratic Force","Costa Rica",
"CR: Partido DemÃ³crata",4417,"PD","Democratic Party","Costa Rica",
"CR: Partido Nacional Independiente",4411,"PNI/PPN","National Independent Party // National Patriotic Party","Costa Rica",
"CR: Partido de LiberaciÃ³n Nacional (PLN)",1367,"PLN","National Liberation Party","Costa Rica",
"CR: Partido Unidad Social Cristiana (PUSC)",1199,"PUSC","Social Christian Unity Party","Costa Rica",
"CR: Partido AcciÃ³n Ciudadana (PAC)",1247,"PAC","Citizens' Action Party","Costa Rica",
"CR: Movimiento Libertario (ML)",842,"PML","Libertarian Movement Party","Costa Rica",
"CR: Partido Independiente Obrero (PIO)",,,,"Costa Rica",
"CR: Partido IntegraciÃ³n Nacional (PIN)",4418,"PIN","National Integration Party","Costa Rica",
"CR: Partido PatriÃ³tico Nacional (PN)",5147,"PN","New Homeland Party","Costa Rica",
"CR: Partido Pueblo Unido (PPU)",,,,"Costa Rica",
"CR: UniÃ³n para el Cambio (UPC)",4420,"UPC","Union for Change Party","Costa Rica",
"CR: Alianza Nacional Cristiana (ANC)",5116,"ANC","National Christian Alliance","Costa Rica",
"CR: Partido RenovaciÃ³n Costarricense (PRC)",864,"PRC","Costa Rican Renovation Party","Costa Rica",
"CR: Partido Rescate Nacional (PRN)",257,"PRN","National Restoration Party","Costa Rica",
"CR: Partido de Liberación Nacional (PLN)",1367,"PLN","National Liberation Party","Costa Rica",
"CR: Partido Acción Ciudadana (PAC)",1247,"PAC","Citizens' Action Party","Costa Rica",
"CR: Partido Integración Nacional (PIN)",4418,"PIN","National Integration Party","Costa Rica",
"CR: Partido Renovación Costarricense (PRC)",864,"PRC","Costa Rican Renovation Party","Costa Rica",
"CR: Accesibilidad sin Exclusión",504,"PASE","Accessibility without Exclusion","Costa Rica",
"CR: Frente Amplio",1252,"FA","Broad Front","Costa Rica",
"CR: Alianza Patriótica (AP)",,,,"Costa Rica",
"CR: Partido Restauración Nacional (PRN)",257,"PRN","National Restoration Party","Costa Rica",
"CR: Partido Nueva Generación",8744,"PNG","New Generation Party","Costa Rica",
"CR: Partido de Liberacion Nacional (PLN)",1367,"PLN","National Liberation Party","Costa Rica",
"CR: Partido Accion Ciudadana (PAC)",1247,"PAC","Citizens' Action Party","Costa Rica",
"CR: Partido Integracion Nacional (PIN)",4418,"PIN","National Integration Party","Costa Rica",
"CR: Accesibilidad sin Exclusion",504,"PASE","Accessibility without Exclusion","Costa Rica",
"CR: Partido Restauracion Nacional (PRN)",257,"PRN","National Restoration Party","Costa Rica",
"CR: Partido Nueva Generacion",8744,"PNG","New Generation Party","Costa Rica",
"CR: Costarricense",,,,"Costa Rica",
"CR: Alianza Democrata Cristiana",,,,"Costa Rica",
"CR: Alianza Demócrata Cristiana",,,,"Costa Rica",
"CR: Partido de los Trabajadores",,,,"Costa Rica",
"CR: Restauración Nacional (RN)",257,"PRN","National Restoration Party","Costa Rica",
"CR: Partido Nueva República (PNR)",,,,"Costa Rica",
"CR: Restauracion Nacional (RN)",257,"PRN","National Restoration Party","Costa Rica",
"CR: Partido Nueva Republica (PNR)",,,,"Costa Rica",
"CR: Progreso Social Democratico",,,,"Costa Rica",
"CR: Partido Liberal Progresista",7433,"PLP","Progressive Liberal Party","Costa Rica",
"CR: Partido Costa Rica Justa",,,,"Costa Rica",
"CR: Partido Unidos Podemos",,,,"Costa Rica",
"CR: Partido Republicano Social Cristiano",8745,"PRSC","Social Christian Republican Party","Costa Rica",
"CR: Partido Encuentro Nacional",,,,"Costa Rica",
"SDP",1475,"SDP","Social Democratic Party of Croatia","Croatia",
"Green Party",,,,"Croatia",
"Croatian Democratic Union",1431,"HDZ","Croatian Democratic Union","Croatia",
"Social Democratic Party of Croatia",1475,"SDP","Social Democratic Party of Croatia","Croatia",
"Croatian People's Party - Liberal Democrats",799,"HNS — LD","Croatian People's Party — Liberal Democrats","Croatia",
"Croatian Party of Pensioners",2062,"HSU","Croatian Party of Pensioners","Croatia",
"Croatian Peasant Party",72,"HSS","Croatian Peasant Party","Croatia",
"Croatian Social Liberal Party",214,"HSLS","Croatian Social Liberal Party","Croatia",
"Croatian Democratic Alliance of Slavonia and Baranja",2347,"HDSSB","Croatian Democratic Alliance of Slavonia and Baranja","Croatia",
"Croatian Party of Rights",253,"HSP","Croatian Party of Rights","Croatia",
"Istrian Democratic Assembly",513,"IDS","Istrian Democratic Assembly","Croatia",
"Independent Democratic Serbian Party",2348,"SDSS","Independent Democratic Serb Party","Croatia",
"Hrvatska demokratska zajednica (HDZ)",1431,"HDZ","Croatian Democratic Union","Croatia",
"Možemo! - politička platforma",8980,"M!","We Can! – Political Platform","Croatia",
"Socijaldemokratska partija Hrvatske (SDP)",1475,"SDP","Social Democratic Party of Croatia","Croatia",
"Domovinski pokret",8981,"DP","Homeland Movement","Croatia",
"Hrvatska socijalno liberalna stranka (HSLS)",214,"HSLS","Croatian Social Liberal Party","Croatia",
"Hrvatska stranka umirovljenika (HSU)",2062,"HSU","Croatian Party of Pensioners","Croatia",
"Samostalna demokratska srpska stranka (SDSS)",2348,"SDSS","Independent Democratic Serb Party","Croatia",
"Radnička fronta",,,,"Croatia",
"Most nezavisnih lista (Most)",4865,"Most","Bridge of Independent Lists","Croatia",
"Hrvatska narodna stranka - Liberalni demokrati (HNS)",799,"HNS — LD","Croatian People's Party — Liberal Democrats","Croatia",
"Fokus",,,,"Croatia",
"Hrvatska seljačka stranka (HSS)",72,"HSS","Croatian Peasant Party","Croatia",
"Istarski demokratski sabor (IDS)",513,"IDS","Istrian Democratic Assembly","Croatia",
"Centar",,,,"Croatia",
"Narodna stranka – Reformista",4866,"NS — R","People's Party — Reformists","Croatia",
"Hrvatska demokršćanska stranka (HDS)",,,,"Croatia",
"Hrvatski suverenisti",9086,"HS","Croatian Souverainists","Croatia",
"Nova ljevica",,,,"Croatia",
"Hrvatska demokrtska zajednica (HDZ)",1431,"HDZ","Croatian Democratic Union","Croatia",
"Hrvatska stranka prava (HSP)",253,"HSP","Croatian Party of Rights","Croatia",
"Samostalna demokratska Srpska stranka (SDSS)",2348,"SDSS","Independent Democratic Serb Party","Croatia",
"Hrvatska seljacka stranka (HSS)",72,"HSS","Croatian Peasant Party","Croatia",
"Hrvatsko socijalno-liberalna stranka (HSLS)",214,"HSLS","Croatian Social Liberal Party","Croatia",
"Istarski demokrtski sabor (IDS)",513,"IDS","Istrian Democratic Assembly","Croatia",
"Hrvatski demokratski savez Slavonije i Baranje (HDSSB)",2347,"HDSSB","Croatian Democratic Alliance of Slavonia and Baranja","Croatia",
"Bandić Milan 365 - Stranka rada i solidarnosti",5452,"BM 365","Milan Bandic 365 — The Party of Labour and Solidarity","Croatia",
"Lista Mislav Kolakušić",,,,"Croatia",
"Živi zid",4867,"ZiZi","Human Shield","Croatia",
"Neovisni za Hrvatsku (HNR)",7422,"NHR","Independents for Croatia","Croatia",
"Hrvatska konzervativna stranka (HKS)",9085,"HKS","Croatian Conservative Party","Croatia",
"Hrast - Pokret za modernu Hrvatsku",3138,"Hrast","Croatian Growth","Croatia",
"GLAS - Građansko-liberalni savez",8178,"GLAS","Civic Liberal Alliance","Croatia",
"START - Stranka antikorupcije, razvoja i transparentnosti",,,,"Croatia",
"ASH",5933,"ASH","Social Democratic Action of Croatia","Croatia",
"DA",8606,"DA","Dalmatian Action","Croatia",
"H SP",,,,"Croatia",
"HDZ",1431,"HDZ","Croatian Democratic Union","Croatia",
"HKDU",8036,"HKDU","Croatian Christian Democratic Union","Croatia",
"HKDS",5458,"HKDS","Croatian Christian Democratic Party","Croatia",
"HNS",799,"HNS — LD","Croatian People's Party — Liberal Democrats","Croatia",
"HPS",6568,"HPS","Croatian Popular Party","Croatia",
"HSS",72,"HSS","Croatian Peasant Party","Croatia",
"HSLS",214,"HSLS","Croatian Social Liberal Party","Croatia",
